,tconst,averageRating,numVotes
3469,tt0013274,6.7,48
40472,tt0062336,6.4,164
46340,tt0069049,6.7,7560
71098,tt0097767,7.0,6
73245,tt0100275,6.5,339
77187,tt0104988,8.4,8
82635,tt0111596,8.1,63
83343,tt0112502,4.6,41
89317,tt0119830,7.2,28
89962,tt0120589,7.1,157
98594,tt0137204,8.6,292
98846,tt0137818,4.8,35
109111,tt0157734,7.4,72
109849,tt0159369,7.4,92
115381,tt0170155,6.8,15
116618,tt0173042,7.9,525
121499,tt0182285,3.8,16
126948,tt0192528,4.0,122
128529,tt0195933,7.0,6
130341,tt0199602,6.6,34
131000,tt0200940,3.1,348
135823,tt0211266,8.4,14
143636,tt0228933,6.5,346
144486,tt0230622,7.8,67
145105,tt0231955,6.9,15
149634,tt0242639,5.9,21
153234,tt0250219,5.2,17
154244,tt0252316,8.9,67
155731,tt0255820,6.3,199
157891,tt0260293,6.8,45
165753,tt0276568,6.6,13
167001,tt0278978,6.3,15
169303,tt0283145,5.6,33
169491,tt0283440,7.3,17
174718,tt0293429,6.0,177032
176752,tt0297400,7.0,104
180204,tt0304681,8.3,11
180795,tt0305811,8.2,145
181363,tt0306971,8.5,52
181901,tt0308078,6.2,15
185554,tt0315642,7.1,19345
190500,tt0326716,6.5,829
191235,tt0328810,7.9,93
191474,tt0329539,5.6,117
192089,tt0330987,7.2,18
192224,tt0331314,4.8,406
194601,tt0337926,6.0,727
194788,tt0338258,6.6,42
195379,tt0339736,5.5,3633
195456,tt0339917,5.9,16
197638,tt0346045,6.6,54
197699,tt0346172,3.0,179
203347,tt0359950,7.3,322306
203618,tt0360556,4.9,21001
205331,tt0364201,7.3,29
205842,tt0365545,6.4,9433
206009,tt0365907,6.5,123244
207142,tt0368133,6.6,8
207843,tt0369610,6.9,649148
210786,tt0376479,6.1,17308
215088,tt0385887,6.8,59034
222074,tt0400871,7.3,64
223373,tt0403935,3.4,3994
225521,tt0409379,6.1,9030
230049,tt0420293,6.8,44024
231981,tt0424859,6.3,73
233265,tt0427543,6.2,3569
236549,tt0435651,6.4,121040
237049,tt0436782,6.1,41
237177,tt0437086,7.3,273655
237791,tt0438755,8.3,36
239088,tt0441881,6.8,13804
239648,tt0443438,5.2,88
239668,tt0443465,6.8,59666
239717,tt0443533,6.3,1460
241093,tt0446792,7.7,27
241554,tt0448115,7.0,345580
242827,tt0451201,2.7,237
242880,tt0451279,7.4,665113
243126,tt0452183,6.8,101
243734,tt0453562,7.5,97180
244620,tt0455944,7.2,377689
245680,tt0458413,6.3,33826
245728,tt0458481,6.5,164320
246580,tt0460890,6.3,15539
247199,tt0462335,5.5,43410
247754,tt0463960,3.3,1837
247810,tt0464054,5.9,392
249471,tt0469021,6.9,32209
250168,tt0470752,7.7,552694
250243,tt0470936,4.2,70
251127,tt0473100,5.6,99
251800,tt0475290,6.3,137277
253556,tt0478970,7.3,675018
253896,tt0479700,5.9,88
254714,tt0481470,6.0,27
254733,tt0481499,7.2,218977
256171,tt0485061,6.3,3140
256348,tt0485535,5.3,9
258160,tt0490075,4.9,382
258231,tt0490215,7.1,115114
258593,tt0491175,5.8,45245
258602,tt0491203,6.2,21724
259247,tt0493076,5.4,2911
259439,tt0493405,6.0,48939
260351,tt0496375,3.7,1435
261092,tt0498351,4.0,667
261111,tt0498381,4.5,41496
261382,tt0499097,5.8,59772
375366,tt0762138,5.6,12206
378341,tt0770828,7.1,777730
378741,tt0772175,5.7,133
379638,tt0775440,4.4,28704
381180,tt0780548,6.4,10189
381223,tt0780625,3.7,159
381467,tt0781524,5.7,36
382013,tt0783640,6.8,12456
383206,tt0787474,6.8,59084
383228,tt0787524,7.2,58595
384277,tt0790628,5.9,74529
384281,tt0790636,7.9,494145
384331,tt0790736,5.6,136459
384345,tt0790770,6.4,10245
385985,tt0795461,3.5,73267
387456,tt0800325,7.0,51218
388175,tt0803096,6.7,267339
388774,tt0804463,6.1,22489
388804,tt0804509,5.6,818
389226,tt0805647,5.3,42607
390154,tt0808447,9.2,51
390729,tt0810001,6.4,223
391065,tt0810819,7.1,189378
391080,tt0810836,5.3,897
391499,tt0811613,6.6,105
393162,tt0816442,7.5,137552
393290,tt0816692,8.6,1857917
393300,tt0816711,7.0,676144
393598,tt0817545,5.1,4151
394915,tt0821486,6.4,36
396071,tt0825283,3.6,4593
396077,tt0825334,8.4,70
397383,tt0829150,6.2,198983
398114,tt0831387,6.4,418385
399082,tt0834112,8.0,17
399684,tt0835775,4.7,955
399691,tt0835802,5.5,1590
400286,tt0837156,6.1,8313
400524,tt0837559,3.6,276
400526,tt0837563,5.7,93661
400820,tt0838194,7.9,20
401438,tt0839742,7.1,2113
402777,tt0843839,7.6,39
403953,tt0847505,8.3,18
404246,tt0848537,6.6,106707
404255,tt0848554,3.7,929
404852,tt0850247,6.9,19
405114,tt0850678,6.7,20
406572,tt0855705,6.9,24
407672,tt0858419,5.6,571
408068,tt0859635,6.0,27097
409064,tt0862748,5.5,1734
409128,tt0862930,6.6,481
409650,tt0864835,6.8,72416
411248,tt0870154,6.6,195114
412483,tt0874268,7.5,51
414926,tt0882977,6.4,89700
415474,tt0884726,5.0,6104
415479,tt0884732,6.6,77160
